,new_cases,china new cases
2021-11-24 00:00:00,1,39
2021-11-25 00:00:00,6,35
2021-11-26 00:00:00,4,42
2021-11-27 00:00:00,3,34
2021-11-28 00:00:00,3,62
2021-11-29 00:00:00,3,57
2021-11-30 00:00:00,6,131
2021-12-01 00:00:00,3,84
2021-12-02 00:00:00,6,108
2021-12-03 00:00:00,3,114
2021-12-04 00:00:00,4,74
2021-12-05 00:00:00,9,80
2021-12-06 00:00:00,5,134
2021-12-07 00:00:00,5,79
2021-12-08 00:00:00,0,101
2021-12-09 00:00:00,7,95
2021-12-10 00:00:00,4,120
2021-12-11 00:00:00,1,77
2021-12-12 00:00:00,5,100
2021-12-13 00:00:00,2,67
2021-12-14 00:00:00,5,82
2021-12-15 00:00:00,1,99
2021-12-16 00:00:00,10,94
2021-12-17 00:00:00,7,140
2021-12-18 00:00:00,5,107
2021-12-19 00:00:00,8,140
2021-12-20 00:00:00,7,65
2021-12-21 00:00:00,8,132
2021-12-22 00:00:00,7,116
2021-12-23 00:00:00,2,105
2021-12-24 00:00:00,5,163
2021-12-25 00:00:00,25,61
2021-12-26 00:00:00,9,231
2021-12-27 00:00:00,9,369
2021-12-28 00:00:00,6,218
2021-12-29 00:00:00,14,215
2021-12-30 00:00:00,12,221
2021-12-31 00:00:00,19,254
2022-01-01 00:00:00,18,218
2022-01-02 00:00:00,26,101
2022-01-03 00:00:00,29,308
2022-01-04 00:00:00,39,136
2022-01-05 00:00:00,38,255
2022-01-06 00:00:00,33,183
2022-01-07 00:00:00,33,178
2022-01-08 00:00:00,37,210
2022-01-09 00:00:00,33,188
2022-01-10 00:00:00,24,230
2022-01-11 00:00:00,21,263
2022-01-12 00:00:00,22,218
2022-01-13 00:00:00,14,226
2022-01-14 00:00:00,9,198
2022-01-15 00:00:00,5,138
2022-01-16 00:00:00,11,263
2022-01-17 00:00:00,7,188
2022-01-18 00:00:00,18,114
2022-01-19 00:00:00,16,99
2022-01-20 00:00:00,14,91
2022-01-21 00:00:00,24,92
2022-01-22 00:00:00,26,93
2022-01-23 00:00:00,140,74
2022-01-24 00:00:00,109,66
2022-01-25 00:00:00,124,82
2022-01-26 00:00:00,107,124
2022-01-27 00:00:00,164,111
2022-01-28 00:00:00,115,110
2022-01-29 00:00:00,119,111
2022-01-30 00:00:00,81,119
2022-01-31 00:00:00,92,114
2022-02-01 00:00:00,129,90
2022-02-02 00:00:00,116,65
2022-02-03 00:00:00,142,121
2022-02-04 00:00:00,131,77
2022-02-05 00:00:00,351,96
2022-02-06 00:00:00,342,110
2022-02-07 00:00:00,614,151
2022-02-08 00:00:00,625,143
2022-02-09 00:00:00,1161,46
2022-02-10 00:00:00,986,127
2022-02-11 00:00:00,1325,155
2022-02-12 00:00:00,1514,98
2022-02-13 00:00:00,1347,112
2022-02-14 00:00:00,2071,110
2022-02-15 00:00:00,1619,142
2022-02-16 00:00:00,4285,110
2022-02-17 00:00:00,6116,111
2022-02-18 00:00:00,3629,177
2022-02-19 00:00:00,6063,218
2022-02-20 00:00:00,6067,180
2022-02-21 00:00:00,7533,164
2022-02-22 00:00:00,6211,240
2022-02-23 00:00:00,8674,239
2022-02-24 00:00:00,8798,323
2022-02-25 00:00:00,10010,323
2022-02-26 00:00:00,74534,326
2022-02-27 00:00:00,50976,264
2022-02-28 00:00:00,56178,359
2022-03-01 00:00:00,55658,355
2022-03-02 00:00:00,76341,372
2022-03-03 00:00:00,76991,411
2022-03-04 00:00:00,72682,412
2022-03-05 00:00:00,67583,470
2022-03-06 00:00:00,39801,518
2022-03-07 00:00:00,36395,748
2022-03-08 00:00:00,38751,761
2022-03-09 00:00:00,30461,666
2022-03-10 00:00:00,31402,1349
2022-03-11 00:00:00,29381,1225
2022-03-12 00:00:00,27647,1620
2022-03-13 00:00:00,32430,3438
2022-03-14 00:00:00,26908,2228
2022-03-15 00:00:00,27765,5062
2022-03-16 00:00:00,29272,4223
2022-03-17 00:00:00,21650,1890
2022-03-18 00:00:00,20082,4053
2022-03-19 00:00:00,16597,5396
2022-03-20 00:00:00,14149,2710
2022-03-21 00:00:00,14068,4393
2022-03-22 00:00:00,14152,6923
2022-03-23 00:00:00,12240,4408
2022-03-24 00:00:00,13074,4108
2022-03-25 00:00:00,10405,4843
2022-03-26 00:00:00,8841,5594
2022-03-27 00:00:00,8037,5584
2022-03-28 00:00:00,7685,6195
2022-03-29 00:00:00,7596,7315
2022-03-30 00:00:00,6981,8943
2022-03-31 00:00:00,6646,7042
